name,phone,address,city,state,zip,website,category_type,categories,rating,review_count,source,date_found
Reimer's Candies & Gifts,(559) 642-3232,"41969 Hwy 41, Oakhurst, CA 93644",Oakhurst,CA,93644,https://www.yelp.com/biz/reimers-candies-and-gifts-oakhurst-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,bakery,"Gelato, Ice Cream & Frozen Yogurt, Candy Stores",4.5,235,Yelp,2026-07-02
Reimer's Candies & Gifts,(559) 642-3232,"41969 Hwy 41, Oakhurst, CA 93644",Oakhurst,CA,93644,https://www.yelp.com/biz/reimers-candies-and-gifts-oakhurst-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,bakery,"Gelato, Ice Cream & Frozen Yogurt, Candy Stores",4.5,235,Yelp,2026-07-02
Garrafa,(559) 570-8000,"1807 W Olive Ave, Fresno, CA 93728",Fresno,CA,93728,https://www.yelp.com/biz/garrafa-fresno?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,bakery,"Ice Cream & Frozen Yogurt, Tacos, Food Trucks",4.7,93,Yelp,2026-07-02
Two Acre Farms,(408) 406-8798,"13757 Mono Way, Sonora, CA 95370",Sonora,CA,95370,https://www.yelp.com/biz/two-acre-farms-sonora?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,bakery,"Bakeries, Desserts, Breakfast & Brunch",4.9,34,Yelp,2026-07-02
Ampersand Ice Cream,(559) 264-8000,"1940 N Echo Ave, Fresno, CA 93704",Fresno,CA,93704,https://www.yelp.com/biz/ampersand-ice-cream-fresno-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,bakery,Ice Cream & Frozen Yogurt,4.7,986,Yelp,2026-07-02
Big Finish Wine Tavern,(628) 867-4584,"3141 16th St, San Francisco, CA 94103",San Francisco,CA,94103,https://www.yelp.com/biz/big-finish-wine-tavern-san-francisco-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,bakery,"Wine Bars, New American, Desserts",4.7,62,Yelp,2026-07-02
Happy Bunz,(559) 406-5115,"5771 N Palm Ave, Fresno, CA 93704",Fresno,CA,93704,https://www.yelp.com/biz/happy-bunz-fresno?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,bakery,Donuts,3.0,2,Yelp,2026-07-02
Big Finish Wine Tavern,(628) 867-4584,"3141 16th St, San Francisco, CA 94103",San Francisco,CA,94103,https://www.yelp.com/biz/big-finish-wine-tavern-san-francisco-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,bakery,"Wine Bars, New American, Desserts",4.7,62,Yelp,2026-07-02
Big Finish Wine Tavern,(628) 867-4584,"3141 16th St, San Francisco, CA 94103",San Francisco,CA,94103,https://www.yelp.com/biz/big-finish-wine-tavern-san-francisco-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,bakery,"Wine Bars, New American, Desserts",4.7,62,Yelp,2026-07-02
Big Finish Wine Tavern,(628) 867-4584,"3141 16th St, San Francisco, CA 94103",San Francisco,CA,94103,https://www.yelp.com/biz/big-finish-wine-tavern-san-francisco-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,bakery,"Wine Bars, New American, Desserts",4.7,62,Yelp,2026-07-02
