name,phone,address,city,state,zip,website,category_type,categories,rating,review_count,source,date_found
13 Prime Steak,(559) 216-1313,"1345 N Willow Ave, Ste 190, Clovis, CA 93619",Clovis,CA,93619,https://www.yelp.com/biz/13-prime-steak-clovis-3?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,bar,"Steakhouses, Cocktail Bars",4.3,672,Yelp,2026-07-02
Dead Rat Saloon,(559) 769-2095,"19414 Ave 344, Woodlake, CA 93286",Woodlake,CA,93286,https://www.yelp.com/biz/dead-rat-saloon-woodlake-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,bar,Dive Bars,4.5,15,Yelp,2026-07-02
Mammoth Rock Brasserie,(760) 934-4200,"3029 Chateau Rd, Mammoth Lakes, CA 93546",Mammoth Lakes,CA,93546,https://www.yelp.com/biz/mammoth-rock-brasserie-mammoth-lakes-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,bar,"Brasseries, Bars, French",4.4,509,Yelp,2026-07-02
Bravo Farms Traver,(559) 897-5762,"36005 Hwy 99, Traver, CA 93673",Traver,CA,93673,https://www.yelp.com/biz/bravo-farms-traver-traver-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,bar,"Cheese Shops, Barbeque, Chocolatiers & Shops",3.8,727,Yelp,2026-07-02
Downtown Rookies Sports Bar,(559) 732-1200,"215 E Main St, Visalia, CA 93291",Visalia,CA,93291,https://www.yelp.com/biz/downtown-rookies-sports-bar-visalia?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,bar,Sports Bars,2.9,179,Yelp,2026-07-02
Eureka!,(559) 578-8879,"950 Herndon Ave, Clovis, CA 93612",Clovis,CA,93612,https://www.yelp.com/biz/eureka-clovis-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,bar,"American, Cocktail Bars, Burgers",4.0,204,Yelp,2026-07-02
Harmony Brazilian Steakhouse & Bar,(310) 359-3400,"106 Old Mammoth Rd, Mammoth Lakes, CA 93546",Mammoth Lakes,CA,93546,https://www.yelp.com/biz/harmony-brazilian-steakhouse-and-bar-mammoth-lakes?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,bar,"Brazilian, Steakhouses, Cocktail Bars",4.4,232,Yelp,2026-07-02
Dog House Grill,(559) 294-9920,"2789 E Shaw Ave, Fresno, CA 93710",Fresno,CA,93710,https://www.yelp.com/biz/dog-house-grill-fresno-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,bar,"Sports Bars, American, Barbeque",4.2,2972,Yelp,2026-07-02
Mammoth Rock Brasserie,(760) 934-4200,"3029 Chateau Rd, Mammoth Lakes, CA 93546",Mammoth Lakes,CA,93546,https://www.yelp.com/biz/mammoth-rock-brasserie-mammoth-lakes-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,bar,"Brasseries, Bars, French",4.4,509,Yelp,2026-07-02
Blue Heron Restaurant & Yosemite Grill,(559) 517-3467,"30250 Yosemite Springs Pkwy, Coarsegold, CA 93614",Coarsegold,CA,93614,https://www.yelp.com/biz/blue-heron-restaurant-and-yosemite-grill-coarsegold?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,bar,"American, Bars, Venues & Event Spaces",4.3,124,Yelp,2026-07-02
