name,phone,address,city,state,zip,website,category_type,categories,rating,review_count,source,date_found
Bee’s Bakery Cafe,(559) 683-2393,"40250 Junction Dr, Oakhurst, CA 93644",Oakhurst,CA,93644,https://www.yelp.com/biz/bee-s-bakery-cafe-oakhurst-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,cafe,"Bakeries, Cafes, Breakfast & Brunch",4.5,299,Yelp,2026-07-02
Mammoth Coffee Roasting Company,(760) 646-3994,"436 Old Mammoth Rd, Ste 1, Mammoth Lakes, CA 93546",Mammoth Lakes,CA,93546,https://www.yelp.com/biz/mammoth-coffee-roasting-company-mammoth-lakes?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,cafe,"Coffee & Tea, Donuts, Cafes",4.4,323,Yelp,2026-07-02
Valentino's,(559) 273-0937,"2405 Capitol St, Ste 107, Fresno, CA 93721",Fresno,CA,93721,https://www.yelp.com/biz/valentinos-fresno?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,cafe,"Italian, Coffee & Tea, Breakfast & Brunch",4.4,63,Yelp,2026-07-02
Bella Rose Bakery & Cafe,(559) 419-9054,"1537 Lincoln St, Kingsburg, CA 93631",Kingsburg,CA,93631,https://www.yelp.com/biz/bella-rose-bakery-and-cafe-kingsburg?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,cafe,"Bakeries, Cafes, Cupcakes",4.6,116,Yelp,2026-07-02
7-Eleven,(559) 939-7888,"105 N Clovis Ave, Fresno, CA 93727",Fresno,CA,93727,https://www.yelp.com/biz/7-eleven-fresno-34?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,cafe,"Convenience Stores, Coffee & Tea, Gas Stations",5.0,1,Yelp,2026-07-02
Tom's Place Cafe,(760) 935-4239,"8180 Crowley Lake Dr, Crowley Lake, CA 93546",Crowley Lake,CA,93546,https://www.yelp.com/biz/toms-place-cafe-crowley-lake?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,cafe,"Bars, Cafes, Resorts",3.5,291,Yelp,2026-07-02
Gold Country Roasters,(209) 202-3331,"78 Scott St, Ste A, Murphys, CA 95247",Murphys,CA,95247,https://www.yelp.com/biz/gold-country-roasters-murphys?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,cafe,"Coffee & Tea, Cafes",4.6,182,Yelp,2026-07-02
Cornerstone Coffee Company,(559) 222-4824,"1463 Fulton St, Fresno, CA 93721",Fresno,CA,93721,https://www.yelp.com/biz/cornerstone-coffee-company-fresno?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,cafe,"Cafes, Breakfast & Brunch",3.8,56,Yelp,2026-07-02
Millie J & Co,+61747244028,"Flinders Pavillion, Townsville Queensland 4810, Australia",Townsville,QLD,4810,https://www.yelp.com/biz/millie-j-and-co-townsville?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,cafe,"Coffee & Tea, Restaurants",2.8,4,Yelp,2026-07-02
La Clochette,(619) 230-5077,"7995 Civita Blvd, Ste 11, San Diego, CA 92108",San Diego,CA,92108,https://www.yelp.com/biz/la-clochette-san-diego-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,cafe,"Bakeries, Coffee & Tea, Breakfast & Brunch",4.0,68,Yelp,2026-07-02
Born Wild Wholefood & Espresso,+61747714045,"373-383 Flinders St, Townsville City Tasmania 4810, Australia",Townsville City,TAS,4810,https://www.yelp.com/biz/born-wild-wholefood-and-espresso-townsville-city?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,cafe,Cafes,4.3,3,Yelp,2026-07-02
Bee’s Bakery Cafe,(559) 683-2393,"40250 Junction Dr, Oakhurst, CA 93644",Oakhurst,CA,93644,https://www.yelp.com/biz/bee-s-bakery-cafe-oakhurst-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,cafe,"Bakeries, Cafes, Breakfast & Brunch",4.5,299,Yelp,2026-07-02
The Kitchen MCASD,(619) 880-8719,"700 Prospect St, La Jolla, CA 92037",La Jolla,CA,92037,https://www.yelp.com/biz/the-kitchen-mcasd-la-jolla?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,cafe,"Cafes, Mediterranean",4.1,82,Yelp,2026-07-02
Little Nap Cafe,(619) 677-2117,"142 University Ave, Ste A, San Diego, CA 92103",San Diego,CA,92103,https://www.yelp.com/biz/little-nap-cafe-san-diego-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,cafe,"Coffee & Tea, Bubble Tea, Sandwiches",4.1,420,Yelp,2026-07-02
Bee’s Bakery Cafe,(559) 683-2393,"40250 Junction Dr, Oakhurst, CA 93644",Oakhurst,CA,93644,https://www.yelp.com/biz/bee-s-bakery-cafe-oakhurst-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,cafe,"Bakeries, Cafes, Breakfast & Brunch",4.5,299,Yelp,2026-07-02
The Spot Cafe & Lounge,(310) 559-8868,"4455 Overland Ave, Culver City, CA 90230",Culver City,CA,90230,https://www.yelp.com/biz/the-spot-cafe-and-lounge-culver-city?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,cafe,"Lounges, Cafes",4.0,256,Yelp,2026-07-02
