name,phone,address,city,state,zip,website,category_type,categories,rating,review_count,source,date_found
New China Cafe,(559) 266-6508,"1107 N Blackstone Ave, Fresno, CA 93701",Fresno,CA,93701,https://www.yelp.com/biz/new-china-cafe-fresno?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,chinese,Chinese,3.7,147,Yelp,2026-07-02
Panda Express,(559) 323-0541,"2980 E. Nees Ave, Fresno, CA 93720",Fresno,CA,93720,https://www.yelp.com/biz/panda-express-fresno-5?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,chinese,"Chinese, Fast Food",2.4,112,Yelp,2026-07-02
Tsing Tao Chinese Restaurant,(559) 297-7725,"711 W Shaw Ave, Ste 101, Clovis, CA 93612",Clovis,CA,93612,https://www.yelp.com/biz/tsing-tao-chinese-restaurant-clovis?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,chinese,Chinese,4.0,337,Yelp,2026-07-02
88 Bao Bao,(209) 749-2114,"3564 G St, Merced, CA 95340",Merced,CA,95340,https://www.yelp.com/biz/88-bao-bao-merced?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,chinese,"Asian Fusion, Dim Sum, Ramen",4.1,135,Yelp,2026-07-02
Imperial Garden Restaurant,(559) 435-4406,"6640 N Blackstone Ave, Ste 108, Fresno, CA 93710",Fresno,CA,93710,https://www.yelp.com/biz/imperial-garden-restaurant-fresno?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,chinese,"Dim Sum, Seafood, Soup",3.1,562,Yelp,2026-07-02
The Jade Restaurant,(559) 734-5233,"3837 W Caldwell Ave, Ste C, Visalia, CA 93277",Visalia,CA,93277,https://www.yelp.com/biz/the-jade-restaurant-visalia?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,chinese,Chinese,3.7,207,Yelp,2026-07-02
Golden Crane Express,(213) 739-8728,"808 S Alvarado St, Ste A, Los Angeles, CA 90057",Los Angeles,CA,90057,https://www.yelp.com/biz/golden-crane-express-los-angeles-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,chinese,"Chinese, Hawaiian",4.2,78,Yelp,2026-07-02
Golden Dragon,(509) 925-2272,"1302 S Ruby St, Ellensburg, WA 98926",Ellensburg,WA,98926,https://www.yelp.com/biz/golden-dragon-ellensburg?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,chinese,Chinese,3.3,94,Yelp,2026-07-02
A Golden House,(626) 286-5288,"9608 Las Tunas Dr, Temple City, CA 91780",Temple City,CA,91780,https://www.yelp.com/biz/a-golden-house-temple-city?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,chinese,Chinese,3.0,109,Yelp,2026-07-02
Gourmet Palace China Bistro,(818) 763-0083,"12910 W Magnolia Blvd, Ste E, Los Angeles, CA 91423",Los Angeles,CA,91423,https://www.yelp.com/biz/gourmet-palace-china-bistro-los-angeles?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,chinese,"Chinese, Noodles, Soup",4.3,695,Yelp,2026-07-02
Wonderland Chinese,(760) 872-1144,"930 N Main St, Bishop, CA 93514",Bishop,CA,93514,https://www.yelp.com/biz/wonderland-chinese-bishop?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,chinese,"Chinese, Noodles, Seafood",4.6,77,Yelp,2026-07-02
Wonderland Chinese,(760) 872-1144,"930 N Main St, Bishop, CA 93514",Bishop,CA,93514,https://www.yelp.com/biz/wonderland-chinese-bishop?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,chinese,"Chinese, Noodles, Seafood",4.6,77,Yelp,2026-07-02
Ma's House,(858) 278-1688,"5537 Clairemont Mesa Blvd, San Diego, CA 92117",San Diego,CA,92117,https://www.yelp.com/biz/mas-house-san-diego-5?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,chinese,"Chinese, Halal, Seafood",3.7,367,Yelp,2026-07-02
Milk & Co Cafe,(626) 703-4556,"500 W Garvey Ave, Monterey Park, CA 91754",Monterey Park,CA,91754,https://www.yelp.com/biz/milk-and-co-cafe-monterey-park-7?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,chinese,"Chinese, Cafes, Breakfast & Brunch",3.2,82,Yelp,2026-07-02
Golden Dragon,(509) 925-2272,"1302 S Ruby St, Ellensburg, WA 98926",Ellensburg,WA,98926,https://www.yelp.com/biz/golden-dragon-ellensburg?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,chinese,Chinese,3.3,94,Yelp,2026-07-02
Golden Kitchen,(415) 941-9340,"925 O'Farrell St, San Francisco, CA 94109",San Francisco,CA,94109,https://www.yelp.com/biz/golden-kitchen-san-francisco?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,chinese,"Chinese, Food Delivery Services, Seafood",4.8,13,Yelp,2026-07-02
Golden City Restaurant,(858) 565-6682,"5375 Kearny Villa Rd, San Diego, CA 92123",San Diego,CA,92123,https://www.yelp.com/biz/golden-city-restaurant-san-diego?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,chinese,"Chinese, Seafood, Breakfast & Brunch",3.4,552,Yelp,2026-07-02
A Golden House,(626) 286-5288,"9608 Las Tunas Dr, Temple City, CA 91780",Temple City,CA,91780,https://www.yelp.com/biz/a-golden-house-temple-city?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,chinese,Chinese,3.0,109,Yelp,2026-07-02
Big Sky Bistro,(951) 328-1688,"1490 University Ave, Ste 101, Riverside, CA 92507",Riverside,CA,92507,https://www.yelp.com/biz/big-sky-bistro-riverside-3?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,chinese,"Seafood, Dim Sum",4.1,635,Yelp,2026-07-02
Golden House Chinese Restaurant,(619) 690-2688,"4370 Palm Ave, Ste N, San Diego, CA 92154",San Diego,CA,92154,https://www.yelp.com/biz/golden-house-chinese-restaurant-san-diego-5?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,chinese,Chinese,4.2,789,Yelp,2026-07-02
Capitol Regent Chinese Restaurant,+61747713838,"187 Flinders St, Townsville Queensland 4810, Australia",Townsville,QLD,4810,https://www.yelp.com/biz/capitol-regent-chinese-restaurant-townsville-3?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,chinese,"Fast Food, Chinese",4.5,2,Yelp,2026-07-02
