name,phone,address,city,state,zip,website,category_type,categories,rating,review_count,source,date_found
Teriyaki Madness,(559) 570-2370,"1916 E Copper Ave, Ste 104, Fresno, CA 93730",Fresno,CA,93730,https://www.yelp.com/biz/teriyaki-madness-fresno-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,japanese,"Japanese, Asian Fusion",3.5,23,Yelp,2026-07-02
Blufin Sushi & Izakaya,(559) 412-4919,"7033 N Cedar Ave, Fresno, CA 93720",Fresno,CA,93720,https://www.yelp.com/biz/blufin-sushi-and-izakaya-fresno-4?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,japanese,"Sushi Bars, Japanese, Vegan",3.6,322,Yelp,2026-07-02
Tuna House,(415) 928-9989,"2146 Irving St, San Francisco, CA 94122",San Francisco,CA,94122,https://www.yelp.com/biz/tuna-house-san-francisco?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,japanese,Japanese,3.6,16,Yelp,2026-07-02
SOBAR,(310) 439-1029,"12404 W Washington Blvd, Los Angeles, CA 90066",Los Angeles,CA,90066,https://www.yelp.com/biz/sobar-los-angeles?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,japanese,"Japanese, Noodles, Bars",4.1,194,Yelp,2026-07-02
Blue Ribbon Sushi Bar & Grill - The Grove,(323) 352-9300,"189 The Grove Dr, Los Angeles, CA 90036",Los Angeles,CA,90036,https://www.yelp.com/biz/blue-ribbon-sushi-bar-and-grill-the-grove-los-angeles?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,japanese,"Sushi Bars, Japanese, Cocktail Bars",3.7,758,Yelp,2026-07-02
Cafe Blue Sky Blue,(323) 928-2221,"4429 Beverly Blvd, Los Angeles, CA 90004",Los Angeles,CA,90004,https://www.yelp.com/biz/cafe-blue-sky-blue-los-angeles?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,japanese,"Coffee & Tea, Juice Bars & Smoothies, Sushi Bars",4.9,39,Yelp,2026-07-02
Sakana Sushi Bar and Restaurant,+61747210189,"373 Flinders St, Townsville City Queensland 4810, Australia",Townsville City,QLD,4810,https://www.yelp.com/biz/sakana-sushi-bar-and-restaurant-townsville-city?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,japanese,"Sushi Bars, Japanese",5.0,3,Yelp,2026-07-02
Harmony Cuisine 2B1,(858) 737-4777,"3904 Convoy St, Ste 117, San Diego, CA 92111",San Diego,CA,92111,https://www.yelp.com/biz/harmony-cuisine-2b1-san-diego-5?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,japanese,"Japanese, Sushi Bars, Asian Fusion",4.7,321,Yelp,2026-07-02
Teriyaki Madness,,6121 Sunrise Blvd,Citrus Heights,CA,95610,,japanese,Japanese/Korean,,,TeriyakiMadness.com,2026-07-02
Teriyaki Madness,,1798 Commons,Folsom,CA,95630,,japanese,Japanese/Korean,,,TeriyakiMadness.com,2026-07-02
