name,phone,address,city,state,zip,website,category_type,categories,rating,review_count,source,date_found
Zaytoona,(559) 530-3085,"129 W 7th St, Hanford, CA 93230",Hanford,CA,93230,https://www.yelp.com/biz/zaytoona-hanford-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mediterranean,"Mediterranean, Salad, New American",4.4,615,Yelp,2026-07-02
Bistro Di Bufala,(559) 636-1618,"208 W Main St, Visalia, CA 93291",Visalia,CA,93291,https://www.yelp.com/biz/bistro-di-bufala-visalia-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mediterranean,"Mediterranean, Italian, Breakfast & Brunch",4.1,521,Yelp,2026-07-02
Bistro Di Bufala,(559) 636-1618,"208 W Main St, Visalia, CA 93291",Visalia,CA,93291,https://www.yelp.com/biz/bistro-di-bufala-visalia-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mediterranean,"Mediterranean, Italian, Breakfast & Brunch",4.1,521,Yelp,2026-07-02
Idle Hour Winery & Kitchen,(559) 760-9090,"41139 Hwy 41, Oakhurst, CA 93644",Oakhurst,CA,93644,https://www.yelp.com/biz/idle-hour-winery-and-kitchen-oakhurst?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mediterranean,"Wineries, New American, Mediterranean",4.6,164,Yelp,2026-07-02
Idle Hour Winery & Kitchen,(559) 760-9090,"41139 Hwy 41, Oakhurst, CA 93644",Oakhurst,CA,93644,https://www.yelp.com/biz/idle-hour-winery-and-kitchen-oakhurst?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mediterranean,"Wineries, New American, Mediterranean",4.6,164,Yelp,2026-07-02
La Mediterranee,(415) 431-7210,"288 Noe St, San Francisco, CA 94114",San Francisco,CA,94114,https://www.yelp.com/biz/la-mediterranee-san-francisco-7?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mediterranean,"Mediterranean, Middle Eastern, Caterers",3.9,715,Yelp,2026-07-02
Idle Hour Winery & Kitchen,(559) 760-9090,"41139 Hwy 41, Oakhurst, CA 93644",Oakhurst,CA,93644,https://www.yelp.com/biz/idle-hour-winery-and-kitchen-oakhurst?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mediterranean,"Wineries, New American, Mediterranean",4.6,164,Yelp,2026-07-02
Idle Hour Winery & Kitchen,(559) 760-9090,"41139 Hwy 41, Oakhurst, CA 93644",Oakhurst,CA,93644,https://www.yelp.com/biz/idle-hour-winery-and-kitchen-oakhurst?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mediterranean,"Wineries, New American, Mediterranean",4.6,164,Yelp,2026-07-02
Idle Hour Winery & Kitchen,(559) 760-9090,"41139 Hwy 41, Oakhurst, CA 93644",Oakhurst,CA,93644,https://www.yelp.com/biz/idle-hour-winery-and-kitchen-oakhurst?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mediterranean,"Wineries, New American, Mediterranean",4.6,164,Yelp,2026-07-02
Golden Grill,(559) 388-8001,"7975 N Cedar Ave, Ste 105, Fresno, CA 93720",Fresno,CA,93720,https://www.yelp.com/biz/golden-grill-fresno-3?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mediterranean,"Lebanese, Syrian, Mediterranean",4.6,227,Yelp,2026-07-02
SF Grill,(628) 201-4962,"799 Valencia St, San Francisco, CA 94110",San Francisco,CA,94110,https://www.yelp.com/biz/sf-grill-san-francisco-3?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mediterranean,Mediterranean,5.0,33,Yelp,2026-07-02
Bistro La Chaumière,(415) 417-4915,"607 Divisadero St, San Francisco, CA 94117",San Francisco,CA,94117,https://www.yelp.com/biz/bistro-la-chaumi%C3%A8re-san-francisco?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mediterranean,"Breakfast & Brunch, French, Mediterranean",4.5,152,Yelp,2026-07-02
Idle Hour Winery & Kitchen,(559) 760-9090,"41139 Hwy 41, Oakhurst, CA 93644",Oakhurst,CA,93644,https://www.yelp.com/biz/idle-hour-winery-and-kitchen-oakhurst?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mediterranean,"Wineries, New American, Mediterranean",4.6,164,Yelp,2026-07-02
Idle Hour Winery & Kitchen,(559) 760-9090,"41139 Hwy 41, Oakhurst, CA 93644",Oakhurst,CA,93644,https://www.yelp.com/biz/idle-hour-winery-and-kitchen-oakhurst?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mediterranean,"Wineries, New American, Mediterranean",4.6,164,Yelp,2026-07-02
Golden Grill,(559) 388-8001,"7975 N Cedar Ave, Ste 105, Fresno, CA 93720",Fresno,CA,93720,https://www.yelp.com/biz/golden-grill-fresno-3?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mediterranean,"Lebanese, Syrian, Mediterranean",4.6,227,Yelp,2026-07-02
Golden Grill,(559) 314-9094,"1365 North Willow Ave, Clovis, CA 93619",Clovis,CA,93619,https://www.yelp.com/biz/golden-grill-clovis-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mediterranean,"Mediterranean, Syrian, Lebanese",4.4,110,Yelp,2026-07-02
Phoenician Garden Mediterranean Bar and Grill,(559) 261-2747,"1025 E Herndon Ave, Ste 106, Fresno, CA 93720",Fresno,CA,93720,https://www.yelp.com/biz/phoenician-garden-mediterranean-bar-and-grill-fresno-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mediterranean,"Mediterranean, Greek, Lebanese",4.4,1103,Yelp,2026-07-02
La Cuisine Cafe,(415) 757-0133,"1145 Market St, San Francisco, CA 94103",San Francisco,CA,94103,https://www.yelp.com/biz/la-cuisine-cafe-san-francisco-4?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mediterranean,"Breakfast & Brunch, French, Mediterranean",4.5,148,Yelp,2026-07-02
Ishtar Mediterranean Market And Grill,(209) 250-1237,"2340 W Monta Vista Ave, Turlock, CA 95382",Turlock,CA,95382,https://www.yelp.com/biz/ishtar-mediterranean-market-and-grill-turlock?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mediterranean,"Grocery, Mediterranean",4.4,54,Yelp,2026-07-02
