name,phone,address,city,state,zip,website,category_type,categories,rating,review_count,source,date_found
El Patio Restaurant,(559) 721-7757,"552 E Olive Ave, Fresno, CA 93728",Fresno,CA,93728,https://www.yelp.com/biz/el-patio-restaurant-fresno?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mexican,Mexican,3.9,1026,Yelp,2026-07-02
Balanced Rock Grill & Cantina,(760) 648-7849,"2588 Hwy 158, June Lake, CA 93529",June Lake,CA,93529,https://www.yelp.com/biz/balanced-rock-grill-and-cantina-june-lake?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mexican,"Mexican, Salad, Sandwiches",4.6,141,Yelp,2026-07-02
Ramon's Tacos,(209) 996-9736,"486 N Sutter St, Planada, CA 95365",Planada,CA,95365,https://www.yelp.com/biz/ramons-tacos-planada?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mexican,"Mexican, Food Trucks",4.5,78,Yelp,2026-07-02
Super Mercado Leon,(559) 924-2966,"250 W D St, Lemoore, CA 93245",Lemoore,CA,93245,https://www.yelp.com/biz/super-mercado-leon-lemoore?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mexican,"Grocery, Mexican",3.6,37,Yelp,2026-07-02
3 Brothers Tortilleria & Birrieria,(559) 507-3331,"1130 Country Club Dr, Madera, CA 93638",Madera,CA,93638,https://www.yelp.com/biz/3-brothers-tortilleria-and-birrieria-madera?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mexican,"Mexican, Food Trucks",,,Yelp,2026-07-02
Roberto's Cafe,(760) 934-3667,"271 Old Mammoth Rd, Mammoth Lakes, CA 93546",Mammoth Lakes,CA,93546,https://www.yelp.com/biz/robertos-cafe-mammoth-lakes-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mexican,"Mexican, Sports Bars, Lounges",3.9,1327,Yelp,2026-07-02
Tacos Sinaloa,(559) 492-8581,"Clovis, CA 93619",Clovis,CA,93619,https://www.yelp.com/biz/tacos-sinaloa-clovis-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mexican,"Mexican, Food Trucks",2.9,8,Yelp,2026-07-02
Mi Casa Restaurante,(559) 400-2699,"200 Derrick Ave, Mendota, CA 93640",Mendota,CA,93640,https://www.yelp.com/biz/mi-casa-restaurante-mendota?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mexican,Mexican,,,Yelp,2026-07-02
El Toro Tortilleria,(559) 253-1200,"4507 E Tulare St, Fresno, CA 93702",Fresno,CA,93702,https://www.yelp.com/biz/el-toro-tortilleria-fresno?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mexican,Mexican,4.6,179,Yelp,2026-07-02
Papi's Mex Grill,(559) 434-1609,"1560 E Champlain Dr, Ste 101, Fresno, CA 93720",Fresno,CA,93720,https://www.yelp.com/biz/papis-mex-grill-fresno?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mexican,"Mexican, Bars",3.9,601,Yelp,2026-07-02
Plazuelas Mexican Restaurant & Taqueria,(559) 658-7771,"40015 Hwy 49, Ste 203 & 204, Oakhurst, CA 93644",Oakhurst,CA,93644,https://www.yelp.com/biz/plazuelas-mexican-restaurant-and-taqueria-oakhurst?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mexican,Mexican,4.3,921,Yelp,2026-07-02
Mariscos Colima,(559) 683-6066,"40208 California 41, Ste B, Oakhurst, CA 93644",Oakhurst,CA,93644,https://www.yelp.com/biz/mariscos-colima-oakhurst-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mexican,Mexican,3.9,142,Yelp,2026-07-02
Casa Velasco Mexican Restaurant,(559) 683-2272,"54311 Rd 432, Bass Lake, CA 93604",Bass Lake,CA,93604,https://www.yelp.com/biz/casa-velasco-mexican-restaurant-bass-lake?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mexican,Mexican,4.4,301,Yelp,2026-07-02
Quesadilla Gorilla,(559) 636-6375,"215 W Main St, Ste 103, Visalia, CA 93291",Visalia,CA,93291,https://www.yelp.com/biz/quesadilla-gorilla-visalia?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mexican,"Mexican, Comfort Food",4.4,779,Yelp,2026-07-02
El Patron Taqueria,(559) 897-5579,"1961 Simpson St, Kingsburg, CA 93631",Kingsburg,CA,93631,https://www.yelp.com/biz/el-patron-taqueria-kingsburg-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mexican,Mexican,3.9,56,Yelp,2026-07-02
Ramon's Tacos,(209) 996-9736,"486 N Sutter St, Planada, CA 95365",Planada,CA,95365,https://www.yelp.com/biz/ramons-tacos-planada?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mexican,"Mexican, Food Trucks",4.5,78,Yelp,2026-07-02
