name,phone,address,city,state,zip,website,category_type,categories,rating,review_count,source,date_found
Riley's Taproom,(559) 318-9897,"2940 McCall Ave, Ste 112, Selma, CA 93662",Selma,CA,93662,https://www.yelp.com/biz/rileys-taproom-selma?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,pizza,"Pizza, Breweries, Burgers",4.2,36,Yelp,2026-07-02
The Annex Kitchen,(559) 248-8512,"2257 W Shaw Ave, Fresno, CA 93711",Fresno,CA,93711,https://www.yelp.com/biz/the-annex-kitchen-fresno-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,pizza,"Pizza, Italian, Cocktail Bars",4.4,1799,Yelp,2026-07-02
Andiamo Ristorante Italiano,(559) 298-3196,"1275 Shaw Ave, Ste 120, Clovis, CA 93612",Clovis,CA,93612,https://www.yelp.com/biz/andiamo-ristorante-italiano-clovis?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,pizza,"Italian, Pizza",4.2,595,Yelp,2026-07-02
Mountain Mike's Pizza,(559) 298-7000,"1610 Herndon Ave, Clovis, CA 93611",Clovis,CA,93611,https://www.yelp.com/biz/mountain-mikes-pizza-clovis-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,pizza,"Pizza, Chicken Wings",4.0,69,Yelp,2026-07-02
The Annex Kitchen,(559) 248-8512,"2257 W Shaw Ave, Fresno, CA 93711",Fresno,CA,93711,https://www.yelp.com/biz/the-annex-kitchen-fresno-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,pizza,"Pizza, Italian, Cocktail Bars",4.4,1799,Yelp,2026-07-02
Rosa's Italian Restaurant,(559) 732-6707,"314 S Johnson St, Visalia, CA 93291",Visalia,CA,93291,https://www.yelp.com/biz/rosas-italian-restaurant-visalia-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,pizza,"Italian, Pizza",3.5,422,Yelp,2026-07-02
Rosa's Italian Restaurant,(559) 732-6707,"314 S Johnson St, Visalia, CA 93291",Visalia,CA,93291,https://www.yelp.com/biz/rosas-italian-restaurant-visalia-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,pizza,"Italian, Pizza",3.5,422,Yelp,2026-07-02
Little Caesars,(559) 326-7580,"1195 Herndon Ave, Ste 105, Clovis, CA 93612",Clovis,CA,93612,https://www.yelp.com/biz/little-caesars-clovis-4?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,pizza,"Pizza, Chicken Wings",3.5,29,Yelp,2026-07-02
The Annex Kitchen,(559) 248-8512,"2257 W Shaw Ave, Fresno, CA 93711",Fresno,CA,93711,https://www.yelp.com/biz/the-annex-kitchen-fresno-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,pizza,"Pizza, Italian, Cocktail Bars",4.4,1799,Yelp,2026-07-02
Public House Marin,(415) 710-5504,"743 Center Blvd, Fairfax, CA 94930",Fairfax,CA,94930,https://www.yelp.com/biz/public-house-marin-fairfax?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,pizza,"Wine Bars, Lounges, Pizza",5.0,11,Yelp,2026-07-02
