name,phone,address,city,state,zip,website,category_type,categories,rating,review_count,source,date_found
E's Sol Food,(559) 217-6578,"2011 E Lewis Ave, Fresno, CA 93701",Fresno,CA,93701,https://www.yelp.com/biz/es-sol-food-fresno?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,food_truck,"Food Trucks, Soul Food",4.4,7,Yelp,2026-07-02
Teriyaki Madness,(559) 570-2370,"1916 E Copper Ave, Ste 104, Fresno, CA 93730",Fresno,CA,93730,https://www.yelp.com/biz/teriyaki-madness-fresno-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,japanese,"Japanese, Asian Fusion",3.5,23,Yelp,2026-07-02
Bee’s Bakery Cafe,(559) 683-2393,"40250 Junction Dr, Oakhurst, CA 93644",Oakhurst,CA,93644,https://www.yelp.com/biz/bee-s-bakery-cafe-oakhurst-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,cafe,"Bakeries, Cafes, Breakfast & Brunch",4.5,299,Yelp,2026-07-02
Zaytoona,(559) 530-3085,"129 W 7th St, Hanford, CA 93230",Hanford,CA,93230,https://www.yelp.com/biz/zaytoona-hanford-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mediterranean,"Mediterranean, Salad, New American",4.4,615,Yelp,2026-07-02
13 Prime Steak,(559) 216-1313,"1345 N Willow Ave, Ste 190, Clovis, CA 93619",Clovis,CA,93619,https://www.yelp.com/biz/13-prime-steak-clovis-3?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,bar,"Steakhouses, Cocktail Bars",4.3,672,Yelp,2026-07-02
New China Cafe,(559) 266-6508,"1107 N Blackstone Ave, Fresno, CA 93701",Fresno,CA,93701,https://www.yelp.com/biz/new-china-cafe-fresno?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,chinese,Chinese,3.7,147,Yelp,2026-07-02
Riley's Taproom,(559) 318-9897,"2940 McCall Ave, Ste 112, Selma, CA 93662",Selma,CA,93662,https://www.yelp.com/biz/rileys-taproom-selma?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,pizza,"Pizza, Breweries, Burgers",4.2,36,Yelp,2026-07-02
Mammoth Coffee Roasting Company,(760) 646-3994,"436 Old Mammoth Rd, Ste 1, Mammoth Lakes, CA 93546",Mammoth Lakes,CA,93546,https://www.yelp.com/biz/mammoth-coffee-roasting-company-mammoth-lakes?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,cafe,"Coffee & Tea, Donuts, Cafes",4.4,323,Yelp,2026-07-02
Reimer's Candies & Gifts,(559) 642-3232,"41969 Hwy 41, Oakhurst, CA 93644",Oakhurst,CA,93644,https://www.yelp.com/biz/reimers-candies-and-gifts-oakhurst-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,bakery,"Gelato, Ice Cream & Frozen Yogurt, Candy Stores",4.5,235,Yelp,2026-07-02
Panda Express,(559) 323-0541,"2980 E. Nees Ave, Fresno, CA 93720",Fresno,CA,93720,https://www.yelp.com/biz/panda-express-fresno-5?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,chinese,"Chinese, Fast Food",2.4,112,Yelp,2026-07-02
Tsing Tao Chinese Restaurant,(559) 297-7725,"711 W Shaw Ave, Ste 101, Clovis, CA 93612",Clovis,CA,93612,https://www.yelp.com/biz/tsing-tao-chinese-restaurant-clovis?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,chinese,Chinese,4.0,337,Yelp,2026-07-02
El Patio Restaurant,(559) 721-7757,"552 E Olive Ave, Fresno, CA 93728",Fresno,CA,93728,https://www.yelp.com/biz/el-patio-restaurant-fresno?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mexican,Mexican,3.9,1026,Yelp,2026-07-02
Dead Rat Saloon,(559) 769-2095,"19414 Ave 344, Woodlake, CA 93286",Woodlake,CA,93286,https://www.yelp.com/biz/dead-rat-saloon-woodlake-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,bar,Dive Bars,4.5,15,Yelp,2026-07-02
