name,phone,address,city,state,zip,website,category_type,categories,rating,review_count,source,date_found
Noodle-Ly,(760) 709-0856,"437 Old Mammoth Rd, Ste 146, Mammoth Lakes, CA 93546",Mammoth Lakes,CA,93546,https://www.yelp.com/biz/noodle-ly-mammoth-lakes?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,thai,"Noodles, Vietnamese, Thai",4.3,610,Yelp,2026-07-02
Thai Kitchen,(559) 583-1212,"122 N 11th Ave, Hanford, CA 93230",Hanford,CA,93230,https://www.yelp.com/biz/thai-kitchen-hanford?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,thai,Thai,4.0,214,Yelp,2026-07-02
LA Kitchen,(559) 515-6157,"6105 E Kings Canyon Rd, Ste 102, Fresno, CA 93727",Fresno,CA,93727,https://www.yelp.com/biz/la-kitchen-fresno?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,thai,"Chinese, Laotian, Thai",4.1,405,Yelp,2026-07-02
La Moon Thai Eatery,(619) 546-9990,"6366 El Cajon Blvd, San Diego, CA 92115",San Diego,CA,92115,https://www.yelp.com/biz/la-moon-thai-eatery-san-diego?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,thai,Thai,4.3,291,Yelp,2026-07-02
Sisterita,(415) 649-1919,"669 Commercial St, San Francisco, CA 94111",San Francisco,CA,94111,https://www.yelp.com/biz/sisterita-san-francisco?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,thai,"Breakfast & Brunch, New American, Thai",4.5,1068,Yelp,2026-07-02
Sisterita,(415) 649-1919,"669 Commercial St, San Francisco, CA 94111",San Francisco,CA,94111,https://www.yelp.com/biz/sisterita-san-francisco?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,thai,"Breakfast & Brunch, New American, Thai",4.5,1068,Yelp,2026-07-02
Big Bang Grill,(559) 713-6817,"1400 W Houston Ave, Visalia, CA 93291",Visalia,CA,93291,https://www.yelp.com/biz/big-bang-grill-visalia-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,thai,"Asian Fusion, Korean, Thai",4.5,94,Yelp,2026-07-02
Sisterita,(415) 649-1919,"669 Commercial St, San Francisco, CA 94111",San Francisco,CA,94111,https://www.yelp.com/biz/sisterita-san-francisco?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,thai,"Breakfast & Brunch, New American, Thai",4.5,1068,Yelp,2026-07-02
LA Kitchen,(559) 515-6157,"6105 E Kings Canyon Rd, Ste 102, Fresno, CA 93727",Fresno,CA,93727,https://www.yelp.com/biz/la-kitchen-fresno?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,thai,"Chinese, Laotian, Thai",4.1,405,Yelp,2026-07-02
Golden Spoon,(209) 665-4725,"439 N Main St, Manteca, CA 95336",Manteca,CA,95336,https://www.yelp.com/biz/golden-spoon-manteca-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,thai,"Thai, Noodles, Seafood",4.4,334,Yelp,2026-07-02
